topicId,rank,docId,filename
0,0,191,file:/Users/Alice/Documents/energy-conflict/articles-clean/2019-08-23-RocknRollergehennichtin.txt
0,1,170,file:/Users/Alice/Documents/energy-conflict/articles-clean/2001-08-29-DerVWKaeferDaswardieBRD.txt
0,2,179,file:/Users/Alice/Documents/energy-conflict/articles-clean/2018-02-08-AusblickmitParkhausInvesti.txt
0,3,36,file:/Users/Alice/Documents/energy-conflict/articles-clean/2017-09-30-ReliquiendesFreistaatsEin.txt
0,4,54,file:/Users/Alice/Documents/energy-conflict/articles-clean/2019-08-29-RocknRollergehennicht.txt
0,5,306,file:/Users/Alice/Documents/energy-conflict/articles-clean/2009-06-25-NaziGegnerabgestempeltals.txt
0,6,148,file:/Users/Alice/Documents/energy-conflict/articles-clean/2018-03-20-BierundBarrikadenDieRevol.txt
0,7,78,file:/Users/Alice/Documents/energy-conflict/articles-clean/1997-06-27-Qualitaetalleinmachtnochke.txt
0,8,165,file:/Users/Alice/Documents/energy-conflict/articles-clean/2019-05-29-Sammamianomia.txt
0,9,117,file:/Users/Alice/Documents/energy-conflict/articles-clean/2011-04-09-GepflegteBeleidigungenSeine.txt
0,10,15,file:/Users/Alice/Documents/energy-conflict/articles-clean/2019-11-02-ImmernochderpikendeReißnag.txt
0,11,229,file:/Users/Alice/Documents/energy-conflict/articles-clean/2019-11-04-UrknallundKaffeeklatschDie.txt
0,12,295,file:/Users/Alice/Documents/energy-conflict/articles-clean/1995-08-23-MuellhaldenundMoerderDieU.txt
0,13,330,file:/Users/Alice/Documents/energy-conflict/articles-clean/2010-01-08-AngstvorAidaVerdachtaufL.txt
0,14,344,file:/Users/Alice/Documents/energy-conflict/articles-clean/2011-03-09-EineschmerzhafteGeschichte.txt
0,15,196,file:/Users/Alice/Documents/energy-conflict/articles-clean/2013-06-25-WarmumsHerzAchTollwood.txt
0,16,371,file:/Users/Alice/Documents/energy-conflict/articles-clean/1998-05-25-FamilienfreundlicheEkstase60.txt
0,17,80,file:/Users/Alice/Documents/energy-conflict/articles-clean/1998-08-08-SiebenBierundAluminiumgeldfu.txt
0,18,370,file:/Users/Alice/Documents/energy-conflict/articles-clean/2011-04-30-DasSpaßkraftwerkDerSchnell.txt
0,19,115,file:/Users/Alice/Documents/energy-conflict/articles-clean/2013-03-21-ElsässischeLektionen.txt
